role,final_price, payment_method, time
cashier,300,card,Mon Jun 22 11:21:15 2026
cashier,420,card,Mon Jun 22 11:22:26 2026
cashier,600,card,Mon Jun 22 11:22:49 2026
cashier,1769,card,Mon Jun 22 11:23:29 2026
cashier,1248,card,Mon Jun 22 11:32:04 2026
cashier,2931,card,Mon Jun 22 11:32:26 2026
cashier,715,card,Mon Jun 22 11:33:49 2026
cashier,1422,card,Mon Jun 22 11:33:59 2026
cashier,77,card,Mon Jun 22 11:34:22 2026
cashier,0,card,Mon Jun 22 11:35:35 2026
cashier,75,card,Mon Jun 22 11:35:49 2026
cashier,141,card,Mon Jun 22 11:35:51 2026
cashier,141,card,Mon Jun 22 11:35:52 2026
cashier,382,card,Mon Jun 22 11:36:07 2026
cashier,382,card,Mon Jun 22 11:36:07 2026
cashier,838,card,Mon Jun 22 14:03:49 2026
cashier,1285,card,Mon Jun 22 23:27:22 2026
